Material ;Materialbeschreibung ;Liefereinheit;Maßeinheit ;Bearbeitbares Material ;Industrie;Katalogbeschreibung ;EAN/UPC;EAN in Auftragseinheit ;Materialklassifizierung ;UNSPSC Klassifizierung ;Statische Warennummer ;Herkunftsland ;Lager ;Arbeitshöchstgeschwindigkeit;Max. RPM ;Einheit;Bruttogewicht ;Nettogewicht ;Gewichtseinheit ;Form;Formzusatz;Form beschreibung;Korngröße ;Spezifikation ;Abmessung ;Hauptabmessung 1;Hauptabmessung 12;Hauptabmessung 3;Hauptabmessung 5;Hauptbild ;Bild Frontansicht;Bild Rückansicht ;Bild Seitenansicht ;Bild isometrisch ;Gruppenbild ;Bild Detail ;Anwendungsbild ;Qualitätslinie ;Level 1 ID;Level 1;Level 2 ID;Level 2;Level 3 ID;Level 3;Level 4 ID;Level 4;Materialbezeichnung ;Materialbezeichnung (ohne Tyrolit);Materialbezeichnung (60 Zeichen);Materialbezeichnung (50 Zeichen);Materialbezeichnung (40 Zeichen);Materialbezeichnung (30 Zeichen);Materialuntertitel (30 Zeichen);Titel Produktbeschreibung ;Produktuntertitel ;Beschreibung Kurztext ;Beschreibung Langtext ;Anwendung 1;Anwendung 2;Anwendung 3;Empfehlung 1 ;Empfehlung 2;Empfehlung 3;Empfehlung 4;Empfehlung 5;Produktvorteil 1 ;Produktvorteil 2;Produktvorteil 3;Produktvorteil 4;Produktvorteil 5;Materialgruppe ;Video 1 ;Video 1 Kategorie ;Video 2 ;Video 2 - Kategorie;Video 3 ;Video 3 - Kategorie ;Video 4;Video 4 - Kategorie ;Video 5 ;Video 5 - Kategorie 
10016;1 125x20x32 C800-BE11;1;ST;"Stahl;HSS;Edelstahl;Hartmetall";Präzision Handel;1 GERADE SCHLEIFSCHEIBE;9003170100168;9009010100169;21011311;31191502;68042250;AT;X;25;0;rpm;0,278;0,278;kg;1;;gerade Schleifscheibe;800;C 800 - BE11;D x T x H;125 x 20 x 32;125;20;32;857__1_sharpening_and_polishing_wheel_front_mdb.jpg;857__1_sharpening_and_polishing_wheel_front_mdb.jpg;;;;;;;Keine Qualitätslinie;20009;Präzisionsschleifmittel;20053;Schleifbockscheiben;134;Schleifbock;857;Abziehscheibe für Schneidwerkzeug für Stahl, Edelstahl, HSS und Hartmetall;Tyrolit Abziehscheibe 125x20x32 mm C800 BE Stahl/Inox/HSS/Hartmetall;Abziehscheibe 125x20x32 mm C800 BE Stahl/Inox/HSS/Hartmetall;Tyrolit Abziehscheibe 125x20x32 Stahl/Inox/HSS/Hartmetall;Tyrolit Abziehscheibe 125x20x32 mm;Tyrolit Abziehscheibe 125x20x32;Tyrolit Abziehscheibe;125x20x32 mm;Abziehscheibe für Schneidwerkzeug;für Stahl, Edelstahl, HSS und Hartmetall;Abziehscheibe für Schneidwerkzeuge aus Stahl, HSS, Edelstahl und Hartmetall. Geeignet für den Schleifbock.;Dieses Produkt wurde speziell zum Abziehen von Schnitzmessern entwickelt. Durch seine Korngröße und ein abgestimmtes Bindungssystem ermöglich die Scheibe einen besonders kühlen Schliff. Durch ihre feine Oberfläche verbessert sie die Schnittigkeit und Standzeit der Schneidwerkzeuge. Achten Sie bei der Anwendung immer auf die Drehrichtung der Scheibe. Die Abziehscheibe muss immer von der Schneide weg laufen. Zusätzlich muss der Spannflanschdurchmesser mindestens 2/3 des Scheibendurchmessers betragen.;Speziell zum Abziehen von Schnitzmessern geeignet;;;Drehrichtung der Abziehscheibe beachten (muss sich von der Messerklinge weg drehen);;;;;Kühler Schliff;Hohe Standzeit;Hohe Werkstückoberflächengüte;;;AEE10;;;;;;;;;;
100660;1A1R 100x1x20 D126C100B53ST;1;ST;Hartmetall;"Trennen global;Präzision Handel;B2C Shop";1A1R GERADE SCHLEIFSCHEIBE;9003171006605;9009011006606;21011311;31191506;68042100;AT;X;63;0;rpm;1,878;0,034;kg;1A1R;R;;126;1 - 5;D x T x H;100 x 1 x 20;100;1;20;940__1a1r_150x1x20_1-7_b151c100b53_tn494701_front_mdb.jpg;940__1a1r_150x1x20_1-7_b151c100b53_tn494701_front_mdb.jpg;;;;;;;Keine Qualitätslinie;19999;Trennscheiben;20108;Stationäre Trennscheiben;249;Stationäre Trennmaschine;940;PREMIUM Trennen von rotierenden Werkzeugen für Hartmetall;Tyrolit Diamanttrennscheibe 100x1x20 mm D126 B PREMIUM Hartmetall;Diamanttrennscheibe 100x1x20 mm D126 B PREMIUM Hartmetall;Tyrolit Diamanttrennscheibe 100x1x20 mm PREMIUM Hartmetall;Tyrolit Diamanttrennscheibe 100x1x20 Hartmetall;Tyrolit Diamanttrennscheibe 100x1x20;Tyrolit Diamanttrennscheibe;PREMIUM 100x1x20 Hartmetall;PREMIUM Trennen von rotierenden Werkzeugen;für Hartmetall;Diamant-Hochleistungstrennscheibe zum stationären Nasstrennen von rotierenden Werkzeugen aus Hartmetall. Geeignet für alle gängigen stationären Trennmaschinen. ;Die PREMIUM Diamant-Trennscheibe von Tyrolit bietet Ihnen zahlreiche Vorteile bei der Bearbeitung von rotierenden Werkzeugen aus Hartmetall. Dank des innovativen Bindungssystems, in Kombination mit der passenden Kornqualität, können perfekte Schnittleistungen und höchste Standzeiten erreicht werden. Der äußerst kühle Schnitt dieser Werkzeuge führt zu präzisesten Ergebnissen und optimaler Verschleißfestigkeit, wodurch Ihre Fertigungsprozesse auf ein neues Leistungsniveau gehoben werden.;Diamant-Hochleistungstrennscheibe für die Anwendung auf Hartmetall;Zum Nasstrennen auf stationären Maschinen ;;Max. Arbeitshöchstgeschwindigkeit von 50 m/s mit manuellem oder automatischem Vorschub;;;;;Perfekte Schnittleistung dank innovativem Bindungssystem und passender Kornqualität ;;;;;DPD10;;;;;;;;;;
100660;1A1R 100x1x20 D126C100B53ST;1;ST;Hartmetall;"Trennen global;Präzision Handel;B2C Shop";1A1R GERADE SCHLEIFSCHEIBE;9003171006605;9009011006606;21011311;31191506;68042100;AT;X;63;0;rpm;1,878;0,034;kg;1A1R;R;;126;1 - 5;D x T x H;100 x 1 x 20;100;1;20;33899__1a1r_150x1x20_1-7_b151c100b53_tn494701_front_mdb.jpg;33899__1a1r_150x1x20_1-7_b151c100b53_tn494701_front_mdb.jpg;;;;;;;Keine Qualitätslinie;20009;Präzisionsschleifmittel;20108;Stationäre Trennscheiben;249;Stationäre Trennmaschine;33899;PREMIUM Trennen von rotierenden Werkzeugen für Hartmetall;Tyrolit Diamanttrennscheibe 100x1x20 mm D126 B PREMIUM Hartmetall;Diamanttrennscheibe 100x1x20 mm D126 B PREMIUM Hartmetall;Tyrolit Diamanttrennscheibe 100x1x20 mm PREMIUM Hartmetall;Tyrolit Diamanttrennscheibe 100x1x20 Hartmetall;Tyrolit Diamanttrennscheibe 100x1x20;Tyrolit Diamanttrennscheibe;PREMIUM 100x1x20 Hartmetall;PREMIUM Trennen von rotierenden Werkzeugen;für Hartmetall;Diamant-Hochleistungstrennscheibe zum stationären Nasstrennen von rotierenden Werkzeugen aus Hartmetall. Geeignet für alle gängigen stationären Trennmaschinen. ;Die PREMIUM Diamant-Trennscheibe von Tyrolit bietet Ihnen zahlreiche Vorteile bei der Bearbeitung von rotierenden Werkzeugen aus Hartmetall. Dank des innovativen Bindungssystems, in Kombination mit der passenden Kornqualität, können perfekte Schnittleistungen und höchste Standzeiten erreicht werden. Der äußerst kühle Schnitt dieser Werkzeuge führt zu präzisesten Ergebnissen und optimaler Verschleißfestigkeit, wodurch Ihre Fertigungsprozesse auf ein neues Leistungsniveau gehoben werden.;Diamant-Hochleistungstrennscheibe für die Anwendung auf Hartmetall;Zum Nasstrennen auf stationären Maschinen ;;Max. Arbeitshöchstgeschwindigkeit von 50 m/s mit manuellem oder automatischem Vorschub;;;;;Perfekte Schnittleistung dank innovativem Bindungssystem und passender Kornqualität ;;;;;DPD10;;;;;;;;;;
101000;1A1R 125x1x20 D126C100B53ST;1;ST;Hartmetall;"Trennen global;Präzision Handel;B2C Shop";1A1R GERADE SCHLEIFSCHEIBE;9003171010008;9009011010009;21011311;31191506;68042100;AT;X;63;0;rpm;1,903;0,059;kg;1A1R;R;;126;1 - 5;D x T x H;125 x 1 x 20;125;1;20;940__1a1r_150x1x20_1-7_b151c100b53_tn494701_front_mdb.jpg;940__1a1r_150x1x20_1-7_b151c100b53_tn494701_front_mdb.jpg;;;;;;;Keine Qualitätslinie;19999;Trennscheiben;20108;Stationäre Trennscheiben;249;Stationäre Trennmaschine;940;PREMIUM Trennen von rotierenden Werkzeugen für Hartmetall;Tyrolit Diamanttrennscheibe 125x1x20 mm D126 B PREMIUM Hartmetall;Diamanttrennscheibe 125x1x20 mm D126 B PREMIUM Hartmetall;Tyrolit Diamanttrennscheibe 125x1x20 mm PREMIUM Hartmetall;Tyrolit Diamanttrennscheibe 125x1x20 Hartmetall;Tyrolit Diamanttrennscheibe 125x1x20;Tyrolit Diamanttrennscheibe;PREMIUM 125x1x20 Hartmetall;PREMIUM Trennen von rotierenden Werkzeugen;für Hartmetall;Diamant-Hochleistungstrennscheibe zum stationären Nasstrennen von rotierenden Werkzeugen aus Hartmetall. Geeignet für alle gängigen stationären Trennmaschinen. ;Die PREMIUM Diamant-Trennscheibe von Tyrolit bietet Ihnen zahlreiche Vorteile bei der Bearbeitung von rotierenden Werkzeugen aus Hartmetall. Dank des innovativen Bindungssystems, in Kombination mit der passenden Kornqualität, können perfekte Schnittleistungen und höchste Standzeiten erreicht werden. Der äußerst kühle Schnitt dieser Werkzeuge führt zu präzisesten Ergebnissen und optimaler Verschleißfestigkeit, wodurch Ihre Fertigungsprozesse auf ein neues Leistungsniveau gehoben werden.;Diamant-Hochleistungstrennscheibe für die Anwendung auf Hartmetall;Zum Nasstrennen auf stationären Maschinen ;;Max. Arbeitshöchstgeschwindigkeit von 50 m/s mit manuellem oder automatischem Vorschub;;;;;Perfekte Schnittleistung dank innovativem Bindungssystem und passender Kornqualität ;;;;;DPD10;;;;;;;;;;
101000;1A1R 125x1x20 D126C100B53ST;1;ST;Hartmetall;"Trennen global;Präzision Handel;B2C Shop";1A1R GERADE SCHLEIFSCHEIBE;9003171010008;9009011010009;21011311;31191506;68042100;AT;X;63;0;rpm;1,903;0,059;kg;1A1R;R;;126;1 - 5;D x T x H;125 x 1 x 20;125;1;20;33899__1a1r_150x1x20_1-7_b151c100b53_tn494701_front_mdb.jpg;33899__1a1r_150x1x20_1-7_b151c100b53_tn494701_front_mdb.jpg;;;;;;;Keine Qualitätslinie;20009;Präzisionsschleifmittel;20108;Stationäre Trennscheiben;249;Stationäre Trennmaschine;33899;PREMIUM Trennen von rotierenden Werkzeugen für Hartmetall;Tyrolit Diamanttrennscheibe 125x1x20 mm D126 B PREMIUM Hartmetall;Diamanttrennscheibe 125x1x20 mm D126 B PREMIUM Hartmetall;Tyrolit Diamanttrennscheibe 125x1x20 mm PREMIUM Hartmetall;Tyrolit Diamanttrennscheibe 125x1x20 Hartmetall;Tyrolit Diamanttrennscheibe 125x1x20;Tyrolit Diamanttrennscheibe;PREMIUM 125x1x20 Hartmetall;PREMIUM Trennen von rotierenden Werkzeugen;für Hartmetall;Diamant-Hochleistungstrennscheibe zum stationären Nasstrennen von rotierenden Werkzeugen aus Hartmetall. Geeignet für alle gängigen stationären Trennmaschinen. ;Die PREMIUM Diamant-Trennscheibe von Tyrolit bietet Ihnen zahlreiche Vorteile bei der Bearbeitung von rotierenden Werkzeugen aus Hartmetall. Dank des innovativen Bindungssystems, in Kombination mit der passenden Kornqualität, können perfekte Schnittleistungen und höchste Standzeiten erreicht werden. Der äußerst kühle Schnitt dieser Werkzeuge führt zu präzisesten Ergebnissen und optimaler Verschleißfestigkeit, wodurch Ihre Fertigungsprozesse auf ein neues Leistungsniveau gehoben werden.;Diamant-Hochleistungstrennscheibe für die Anwendung auf Hartmetall;Zum Nasstrennen auf stationären Maschinen ;;Max. Arbeitshöchstgeschwindigkeit von 50 m/s mit manuellem oder automatischem Vorschub;;;;;Perfekte Schnittleistung dank innovativem Bindungssystem und passender Kornqualität ;;;;;DPD10;;;;;;;;;;
101508;52ZY 40x6-6x40 88A60P5V38;25;ST;Stahl;Schleifen;52ZY SCHLEIFSTIFT ZYLINDRISCH;9003171015089;9009011015080;21011316;31191510;68042230;US;X;35;0;rpm;0,031;0,031;kg;52ZY;ZY;Schleifstift zylindrisch;60;88A 60 P5 V38;D x T - S x L;40 x 6 - 6 x 40;40;6;0;416__52zy_32x40-6x40_88a46p5v38_tn2248_mdb.jpg;416__52zy_32x40-6x40_88a46p5v38_tn2248_mdb.jpg;;;;;;;PREMIUM;20005;Schleifstifte;20023;Schleifstifte;256;Geradschleifer;416;PREMIUM Keramische Stifte für Stahl;Tyrolit Schleifstift Keramisch 52ZY 40x6-6x40 A60 P5 PREMIUM Stahl;Schleifstift Keramisch 52ZY 40x6-6x40 A60 P5 PREMIUM Stahl;Tyrolit Schleifstift Keramisch 52ZY 40x6-6x40 Stahl;Tyrolit Schleifstift 52ZY 40x6-6x40 V Stahl;Tyrolit Schleifstift 52ZY 40x6-6x40;Tyrolit Schleifstift 52ZY V;40x6-6x40 A60 Stahl;PREMIUM Keramische Stifte;für Stahl;Hochleistungs Schleifstifte zum Entgraten, Anfasen und Kantenbrechen auf verschiedensten Stahlqualitäten. Geeignet für alle gängigen Geradschleifer.;Die PREMIUM Keramischen Schleifstifte bieten oftmals die einzige Möglichkeit, um an schwer erreichbaren Stellen hochwertige Oberflächenergebnisse zu erzielen. Die Stifte garantieren höchstmögliche Standzeiten bei Entgratungs-, Anfas-, und Kantenbrecharbeiten. Durch die optimale Abstimmung aus Spanleistung und zu erreichendem Oberflächenergebnis, können beste Resultate auf verschiedensten Stahlqualitäten erreicht werden.;Für anspruchsvolle Arbeiten auf verschiedenen Stahlqualitäten wie Entgraten, Anfasen und Kantenbrechen;;;Korngröße 24 – 46 für Grobschleifen;Korngröße 60 – 90 für Feinschleifen ;"Verschiedene Härtegrade laut Spezifikation beachten: 
•	O: für hohe Aggressivität
•	P: universell einsetzbar 
";Arbeitsgeschwindigkeit von max. 50 m/s beachten ;;Bietet optimale Abstimmung aus Spannleistung und zu erreichendem Oberflächenergebnis;Besonders für schwer zugängliche Stellen geeignet;Dank keramischer Bindung mit Edelkorund Rosa ideal für unlegierte Stähle;;;AKK10;;;;;;;;;;
10265;1 150x10x32 89A60M5AV217;10;ST;"Stahl;HSS";Präzision Handel;1 GERADE SCHLEIFSCHEIBE;9003170102650;9009010102651;21011311;31191506;68042230;CZ;S;40;0;rpm;0,401;0,368;kg;1;;gerade Schleifscheibe;60;89A 60 M5A V217;D x T x H;150 x 10 x 32;150;10;32;876__1_225x5x60_89a100h5v111_tn102804_front_mdb.jpg;876__1_225x5x60_89a100h5v111_tn102804_front_mdb.jpg;;876__1_225x5x60_89a100h5v111_tn102804_side_mdb.jpg;876__1_225x5x60_89a100h5v111_tn102804_iso_mdb.jpg;;;;Keine Qualitätslinie;20009;Präzisionsschleifmittel;20055;Sägeschärfscheiben;31316;Sägeschärfscheiben;876;Schleifwerkzeuge für Sägeschärfautomaten für Kreissägen und stellitierte Band- und Gattersägen;Tyrolit Sägeschärfschleifscheibe 150x10x32 mm 89A60 M5A V gerade Stahl/HSS;Sägeschärfschleifscheibe 150x10x32 mm 89A60 M5A V gerade Stahl/HSS;Tyrolit Sägeschärfschleifscheibe 150x10x32 Stahl/HSS;Tyrolit Sägenschleifscheibe 150x10x32 Stahl/HSS;Tyrolit Sägenschleifscheibe 150x10x32;Tyrolit Sägenschleifscheibe;150x10x32 Stahl/HSS;Schleifwerkzeuge für Sägeschärfautomaten;für Kreissägen und stellitierte Band- und Gattersägen;Hochwertiges Schleifwerkzeug für den Trocken- und Nassschliff von HSS, CV und stellitierte Sägen. Geeignet für Sägeschärfautomaten.;Tyrolit bietet Ihnen ein breites Sortiment an Werkzeugen, abgestimmt auf diverse Schleifmaschinen und Zahnteilungen. Diese sind für Trocken- und Nassschliff für HSS, CV und stellitierte Sägen geeignet. Die Produkte sind erhältlich in unterschiedlichen Randprofilen Form 1, 1F, 1C im Durchmesserbereich von 150 - 350 mm.;Für den Trocken- und Nassschliff von HSS, CV und stellitierte Sägen;;;;;;;;Hohe Profilhaltigkeit;Für Nassschliff;Auf Oberflächenanforderung angepasst;;;AKV10;;;;;;;;;;
102804;1 225x5x60 89A100H5V111;10;ST;"Hartmetall;HSS";Präzision Handel;1 GERADE SCHLEIFSCHEIBE;9003171028041;9009011028042;21011311;31191506;68042230;AT;S;40;0;rpm;0,4;0,38;kg;1;;gerade Schleifscheibe;100;89A 100 H5 V111;D x T x H;225 x 5 x 60;225;5;60;882__1_225x5x60_tn102804_tn619872_front_mdb.jpg;882__1_225x5x60_89a100h5v111_tn102804_front_mdb.jpg;;;;;;;Keine Qualitätslinie;20009;Präzisionsschleifmittel;20055;Sägeschärfscheiben;31316;Sägeschärfscheiben;882;Keramisch konventionelle Profilschleifscheiben für Hartmetall und HSS;Tyrolit Sägeschärfschleifscheibe 225x5x60 mm 89A100 H5 V gerade HSS;Sägeschärfschleifscheibe 225x5x60 mm 89A100 H5 V gerade HSS;Tyrolit Sägeschärfschleifscheibe 225x5x60 HSS;Tyrolit Sägenschleifscheibe 225x5x60 HSS;Tyrolit Sägenschleifscheibe 225x5x60;Tyrolit Sägenschleifscheibe;225x5x60 HSS;Keramisch konventionelle Profilschleifscheiben;für Hartmetall und HSS;Keramische und kunstharzgebundene CBN-Schleifscheiben für den Profilschliff von Werkstücken aus Hartmetall und HSS. Geeignet für Sägeschärfautomaten.;Für den Profilschliff verwenden Sie zum Bearbeiten von HSS sowohl Korund als auch CBN Scheiben. Hingegen sollte Hartmetall ausschließlich mit Diamant geschliffen werden. Für den Vorschliff empfehlen wir Korngröße 54 in Edelkorund- und Sinterkorundmischung einzusetzen. Korngröße 100 sollte für Fertigschliff und feine Profile verwendet werden. Alternativ B151 in CBN. Für Hartmetall werden generell feinere Korngrößen eingesetzt.;Für den Profilschliff von Werkstücken aus Hartmetall und HSS;;;;;;;;Hohe Abtragsleistung;Hohe Profilhaltigkeit;Breites Sortiment;;;AKV20;;;;;;;;;;
102813;UC3 230x3x22,23 DCCI;1;ST;Guss;Trennen global;Diamant Trennsäge;9003171028133;9009011028134;21011311;31191502;68042100;VN;X;0;0;rpm;0,67;0,67;kg;UC3;RSS;;0;DCCI;D x T x H;230 x 3 x 22,23;230;3;22,23;12518__focur_sa_cut_off_wheel_front_mdb.jpg;12518__focur_sa_cut_off_wheel_front_mdb.jpg;;;;12518__focur_sa_cut_off_wheel_group_mdb.jpg;12518__focur_sa_cut_off_wheel_detail_mdb.jpg;;PREMIUM;19999;Trennscheiben;20001;Freihand Trennscheiben;38;Winkelschleifer;12518;PREMIUM FOCUR SA Trennscheiben für Grau- und Sphäroguss;Tyrolit Diamanttrennscheibe FOCUR SA 230x3x22,23 mm D PREMIUM Guss;Diamanttrennscheibe FOCUR SA 230x3x22,23 mm D PREMIUM Guss;Tyrolit Diamanttrennscheibe 230x3x22,23 mm D Guss;Tyrolit Diamanttrennscheibe 230x3x22,23 Guss;Tyrolit Diamanttrennscheibe 230x3x22,23;Tyrolit Diamanttrennscheibe;PREMIUM  230x3x22,23 Guss;PREMIUM FOCUR SA Trennscheiben;für Grau- und Sphäroguss;Speziell entwickeltes Hochleistungswerkzeug zum Trennen von Grau- und Sphäroguss. Geeignet für alle gängigen 230mm-Winkelschleifer. ;Die PREMIUM FOCUR SA ist eine Diamanttrennscheibe und Ihr idealer Partner für die Bearbeitung von Grau- und Sphäroguss. Im Vergleich zu gewöhnlichen Kunstharz-Trennscheiben bietet dieses Werkzeug eine um bis zu 25mal längere Standzeit. Profitieren Sie von der außergewöhnlichen Aggressivität dieser Scheibe, welche nicht zuletzt durch die Verwendung von Diamantkörnern erreicht wird. ;Zur Bearbeitung von Grau- und Sphäroguss;;;;;;;;DIN 13236 Sicherheitsnorm ;Höchste Aggressivität mit unglaublicher Standzeit dank innovativer Produktionstechniken und der Verwendung von Diamantkörnern;Bis zu 25-fach höhere Standzeit als Kunstharz gebundene Werkzeuge;;;DPN20;;;;;;;;;;
102814;UC3 300x3x40 DCCI;1;ST;Guss;Trennen global;Diamant Trennsäge;9003171028140;9009011028141;21011311;31191502;68042100;VN;X;0;0;rpm;0,625;0,625;kg;UC3;RSS;;0;DCCI;D x T x H;300 x 3 x 40;300;3;40;12563__focur_sa_cut_off_wheel_front_mdb.jpg;12563__focur_sa_cut_off_wheel_front_mdb.jpg;;;;12563__focur_sa_cut_off_wheel_group_mdb.jpg;12563__focur_sa_cut_off_wheel_detail_mdb.jpg;;PREMIUM;19999;Trennscheiben;20108;Stationäre Trennscheiben;249;Stationäre Trennmaschine;12563;PREMIUM FOCUR SA Trennscheiben für Grau- und Sphäroguss;Tyrolit Diamanttrennscheibe FOCUR SA 300x3x40 mm G PREMIUM Guss;Diamanttrennscheibe FOCUR SA 300x3x40 mm G PREMIUM Guss;Tyrolit Diamanttrennscheibe 300x3x40 mm PREMIUM Guss;Tyrolit Diamanttrennscheibe 300x3x40 Guss;Tyrolit Diamanttrennscheibe 300x3x40;Tyrolit Diamanttrennscheibe;PREMIUM 300x3x40 Guss;PREMIUM FOCUR SA Trennscheiben;für Grau- und Sphäroguss;Speziell entwickelte Diamant-Hochleistungstrennscheibe zum stationären Trennen von Werkstücken aus Grau- und Sphäroguss. Geeignet für alle gängigen stationären Trennmaschinen. ;Die PREMIUM FOCUR SA Diamanttrennscheibe ist Ihr idealer Partner bei der stationären Bearbeitung von Grau- und Sphäroguss. Im Vergleich zu gewöhnlichen Kunstharz-Trennscheiben bietet dieses Werkzeug eine um bis zu 25mal längere Standzeit. Profitieren Sie von der außergewöhnlichen Aggressivität dieser Scheibe, welche nicht zuletzt durch die Verwendung von Diamantkörnern erreicht wird. ;Zur Bearbeitung von Grau- und Sphäroguss;;;;;;;;DIN 13236 Sicherheitsnorm ;Höchste Aggressivität mit unglaublicher Standzeit dank innovativer Produktionstechniken und der Verwendung von Diamantkörnern;Bis zu 25-fach höhere Standzeit als Kunstharz gebundene Werkzeuge;;;DPN20;;;;;;;;;;
